number,title,assent_date,key_changes,bill_url,act_url,bill_file,act_file
97,"The Constitution (Ninety-seventh Amendment) Act, 2011",2012-01-12,"Added the words ""or co-operative societies"" after ""or unions"" in Art 19(1)(c); inserted Art 43B (DPSP on promotion of co-operative societies) and Part IXB 'The Co-operative Societies' (Arts 243ZH-243ZT).","https://prsindia.org/files/bills_acts/bills_parliament/2009/The_Constitution_111th_Amendment_Bill,_2009.pdf",https://web.archive.org/web/20120522144037/http://indiacode.nic.in/coiweb/amend/amend97.pdf,AMENDMENTS/AMENDMENT_097_BILL.pdf,AMENDMENTS/AMENDMENT_097_ACT.pdf
98,"The Constitution (Ninety-eighth Amendment) Act, 2012",2013-01-01,"Inserted Art 371J - special provisions for the Hyderabad-Karnataka region: separate development board, equitable allocation of funds, reservation in education and employment for local residents.","https://prsindia.org/files/bills_acts/bills_parliament/2012/Constitution_(118th_Amendment)_Bill,_2012.pdf",https://web.archive.org/web/20131228174848/http://indiacode.nic.in/coiweb/amend/amend98.pdf,AMENDMENTS/AMENDMENT_098_BILL.pdf,AMENDMENTS/AMENDMENT_098_ACT.pdf
99,"The Constitution (Ninety-ninth Amendment) Act, 2014",2014-12-31,"Inserted Arts 124A, 124B, 124C - National Judicial Appointments Commission (NJAC); amended Arts 127, 128, 217, 222, 224A, 231. Notified 13 Apr 2015; struck down by Supreme Court 16 Oct 2015 (collegium system restored).","https://prsindia.org/files/bills_acts/bills_parliament/2014/121st_(A)_Bill,_2014_1.pdf",https://www.legislative.gov.in/static/uploads/2025/07/09c2097e2e34183043e9e3f6afc3753d.pdf,AMENDMENTS/AMENDMENT_099_BILL.pdf,AMENDMENTS/AMENDMENT_099_ACT.pdf
100,"The Constitution (One Hundredth Amendment) Act, 2015",2015-05-28,Gave effect to the India-Bangladesh Land Boundary Agreement: amended First Schedule for exchange of enclave territories and conferred citizenship rights on enclave residents.,"https://prsindia.org/files/bills_acts/bills_parliament/2013/Constitution_(119th)_Bill,_2013_0.pdf",https://egazette.gov.in/WriteReadData/2015/164169.pdf,AMENDMENTS/AMENDMENT_100_BILL.pdf,AMENDMENTS/AMENDMENT_100_ACT.pdf
101,"The Constitution (One Hundred and First Amendment) Act, 2016",2016-09-08,"Introduced Goods and Services Tax (GST): inserted Arts 246A, 269A, 279A (GST Council); deleted Art 268A; amended Arts 248, 249, 250, 268, 269, 270, 271, 286, 366, 368 and Sixth and Seventh Schedules. GST regime effective 1 July 2017.",https://prsindia.org/files/bills_acts/bills_parliament/2014/Constitution_(122nd)_(A)_bill.pdf,https://egazette.gov.in/WriteReadData/2016/171639.pdf,AMENDMENTS/AMENDMENT_101_BILL.pdf,AMENDMENTS/AMENDMENT_101_ACT.pdf
102,"The Constitution (One Hundred and Second Amendment) Act, 2018",2018-08-11,Constitutional status to the National Commission for Backward Classes: inserted Art 338B (NCBC) and Art 342A (President to specify SEBCs); amended Art 338; inserted Art 366(26C).,"https://prsindia.org/files/bills_acts/bills_parliament/2017/Constitution%20(123rd%20Amendment)%20Bill,%202017_0.pdf",https://www.legislative.gov.in/static/uploads/2025/07/8c366f8ebe268d1bee2992bfb4ae9db1.pdf,AMENDMENTS/AMENDMENT_102_BILL.pdf,AMENDMENTS/AMENDMENT_102_ACT.pdf
103,"The Constitution (One Hundred and Third Amendment) Act, 2019",2019-01-12,"Inserted clause (6) in Arts 15 and 16 - up to 10% reservation for Economically Weaker Sections (EWS) in admission to educational institutions and public employment, in addition to existing reservations.","https://prsindia.org/files/bills_acts/bills_parliament/2019/Constitution%20(124th%20Amendment)%20Bill,%202019_0.pdf",https://www.legislative.gov.in/static/uploads/2025/07/1e84d2ca7394641dfb2653b0a5ef0e86.pdf,AMENDMENTS/AMENDMENT_103_BILL.pdf,AMENDMENTS/AMENDMENT_103_ACT.pdf
104,"The Constitution (One Hundred and Fourth Amendment) Act, 2019",2020-01-21,"Amended Art 334: extended SC/ST reservation of seats in Lok Sabha and State Assemblies by 10 years (to 25 Jan 2030); Anglo-Indian nominated seats in Lok Sabha and State Assemblies (Arts 331, 333) ceased. In force 25 Jan 2020.","https://prsindia.org/files/bills_acts/bills_parliament/2019/The%20Constitution%20(One%20Hundred%20and%20Twenty-Sixth%20Amendment)%20Bill,%202019.pdf",https://egazette.gov.in/WriteReadData/2020/215637.pdf,AMENDMENTS/AMENDMENT_104_BILL.pdf,AMENDMENTS/AMENDMENT_104_ACT.pdf
105,"The Constitution (One Hundred and Fifth Amendment) Act, 2021",2021-08-18,"Restored States' power to identify OBCs/SEBCs: substituted Art 342A (Explanation and clause (3) - States/UTs may by law prepare and maintain their own SEBC lists, which may differ from the Central List); inserted proviso to Art 338B(9); substituted Art 366(26C).","https://prsindia.org/files/bills_acts/bills_parliament/2021/Constitution%20(One%20Hundred%20and%20Twenty-seventh%20Amendment)%20Bill,%202021.pdf",https://www.legislative.gov.in/static/uploads/2025/07/f98100221cb33fa76e84162532b48d56.pdf,AMENDMENTS/AMENDMENT_105_BILL.pdf,AMENDMENTS/AMENDMENT_105_ACT.pdf
106,"The Constitution (One Hundred and Sixth Amendment) Act, 2023",2023-09-28,"Women's reservation (Nari Shakti Vandan Adhiniyam): inserted Arts 330A (Lok Sabha), 332A (State Assemblies) and 334A (15-year reservation from commencement of delimitation, with rotation); amended Art 239AA (Delhi Assembly). Substantive provisions commence on a date to be notified after delimitation.",https://prsindia.org/files/bills_acts/bills_parliament/2023/Constitution_(128th_Amendment)_Bill_2023.pdf,https://www.legislative.gov.in/static/uploads/2025/07/677f65dda7c606ba1d13b8430af70555.pdf,AMENDMENTS/AMENDMENT_106_BILL.pdf,AMENDMENTS/AMENDMENT_106_ACT.pdf
